tip	date	distance	residual
OM966717	2018.5123287671233	3.45E-4	-3.838442644994212E-6
OM966714	2018.5972602739726	3.5E-4	7.496925223796406E-7
OM966721	2018.4794520547946	3.5099999999999997E-4	2.3209889031202986E-6
OM966715	2018.5753424657535	3.5499999999999996E-4	5.855980221120883E-6
OM966718	2018.5150684931507	3.54E-4	5.148271392663346E-6
OM966720	2018.5972602739726	3.4E-4	-9.250307477620331E-6
OM966719	2019.3616438356164	3.4E-4	-1.2957090971271387E-5
OM966716	2018.5013698630137	3.54E-4	5.214701204377299E-6
OM799941	2017.849315068493	3.37E-4	-8.623239758027426E-6
MG939585	2016.6065573770493	3.57E-4	1.7403359881745426E-5
MG939583	2016.603825136612	3.57E-4	1.741660954364605E-5
MG939584	2016.6065573770493	5.05E-4	1.6540335988174545E-4
MT847621	2018.5	3.5E-4	1.2213441855493993E-6
MG939586	2016.7431693989072	3.5E-4	9.740876786781848E-6
MG939589	2017.150684931507	3.5E-4	7.764680639394566E-6
MT847623	2019.8465753424657	3.44E-4	-1.1308706305953307E-5
MG939588	2017.1123287671232	3.44E-4	1.9506841121939974E-6
MG939587	2017.0794520547945	3.53E-4	1.1110115660308527E-5
LTU_2019_01881G2S1	2019.0739726027398	3.26E-4	-2.5562064925274924E-5
LTU_2019_07885G2S1	2019.4575342465753	3.26E-4	-2.7422099653270807E-5
Ukraine_10	2017.6219178082192	3.44E-4	-5.205048835733731E-7
OP479889	2022.0082191780823	4.33E-4	6.720866940555163E-5
OP718533	2022.1780821917807	6.12E-4	2.453849397402976E-4
OP718535	2022.0904109589042	4.28E-4	6.18100905352679E-5
OP718534	2022.1890410958904	4.56E-4	8.933179589092608E-5
OP781308	2007.5	2.9E-4	-5.435517007978236E-6
OP781309	1998.5	2.3500000000000002E-4	-1.679113071177419E-5
OQ434234	2011.5	0.0	-3.1483302202851317E-4
OP781310	2011.5	3.49E-4	3.416697797148686E-5
OP781311	2015.5	3.4199999999999996E-4	7.769472950951866E-6
OP781312	2019.5	3.59E-4	5.371967930415235E-6
OP781313	2005.5	2.82E-4	-3.736764497709881E-6
LTU_2019_0332G2S1	2019.0164383561644	3.8E-4	2.8716940283925077E-5
MK628478	2014.054794520548	3.53E-4	2.5777818086794753E-5
MH681419	2015.0849315068492	3.59E-4	2.678229624589022E-5
MW306192	2019.6356164383562	3.97E-4	4.271431279444433E-5
MT459800	2019.2301369863014	3.43E-4	-9.319364778815047E-6
FR682468	2007.5	2.8700000000000004E-4	-8.4355170079782E-6
MW306191	2019.654794520548	3.4899999999999997E-4	-5.3786889419545395E-6
MW306190	2019.6575342465753	3.4899999999999997E-4	-5.391974904296983E-6
MN715134	2018.309589041096	3.29E-4	-1.8855281431623904E-5
China_ASFV-SY18	2018.495890410959	3.19E-4	-2.9758726870936063E-5
China_HLJ-2018	2018.676712328767	3.19E-4	-3.063560038556336E-5
LTU_2018_00696S3	2018.041095890411	3.3299999999999996E-4	-1.3553257122026277E-5
LTU_2019_08805G2S1	2019.5150684931507	3.3299999999999996E-4	-2.0701104862470843E-5
Ukraine_12	2017.8301369863013	3.35E-4	-1.053023802162858E-5
Ukraine_23	2018.172602739726	3.29E-4	-1.819098331448264E-5
MK543947	2018.690410958904	3.14E-4	-3.570203019727733E-5
LR722600	2017.5	3.1800000000000003E-4	-2.59292795593164E-5
LR536725	2018.6657534246576	3.1800000000000003E-4	-3.158245653619182E-5
LR722599	2017.5	3.22E-4	-2.192927955931641E-5
Ukraine_20	2017.5369863013698	3.22E-4	-2.2108640050943736E-5
OR460730	2022.1835616438357	3.3600000000000004E-4	-3.064163218438902E-5
OR460735	2022.4602739726026	3.3600000000000004E-4	-3.198351438101399E-5
OR660699	2022.6383561643836	3.4999999999999994E-4	-1.8847101933298937E-5
OR660695	2021.5369863013698	3.5899999999999994E-4	-4.506145071480477E-6
OR660696	2019.6301369863013	3.39E-4	-1.525911528086905E-5
OP605386	2022.5	3.29E-4	-3.9176160834985554E-5
OR460734	2022.4438356164383	3.28E-4	-3.990379860695762E-5
OR660697	2020.0245901639344	3.31E-4	-2.5171967154244434E-5
OR660698	2019.690410958904	3.15E-4	-3.955140645241147E-5
Ukraine_24	2018.6438356164383	3.19E-4	-3.0476168837448834E-5
OR460731	2022.4712328767123	3.53E-4	-1.5036658230385518E-5
OR460738	2022.4164383561645	3.53E-4	-1.4770938983529706E-5
OR460740	2022.3260273972603	3.52E-4	-1.533250222621695E-5
OR460741	2022.5616438356165	3.5099999999999997E-4	-1.7475094987700083E-5
OR460733	2022.2493150684932	3.57E-4	-9.960495280616371E-6
OR460737	2022.3205479452056	3.57E-4	-1.0305930301530313E-5
ON108571	2022.0	3.5999999999999997E-4	-5.751472707419343E-6
OR460732	2022.2438356164384	3.5499999999999996E-4	-1.1933923355931532E-5
OR460736	2022.5890410958905	3.4899999999999997E-4	-1.9607954611127983E-5
OR460739	2022.3972602739725	3.52E-4	-1.5677937247129156E-5
OR863253	2017.0849315068492	0.001099	7.570835437356236E-4
